ride_no,origin,destination,driver_netid,date,earliest_time,latest_time,seats_available,gas_price,comments
501,"Milwaukee, WI","Albuquerque, NM",vcr758,2021-02-12,03:39:01,21:28:11,3,4,Phasellus id sapien in sapien iaculis congue.
502,"Boston, MA","Dallas, TX",stl844,2020-05-07,02:02:06,18:59:31,4,28.46,Duis ac nibh.
503,"Aspen, CO","Atlanta, GA",rbi866,2020-11-01,04:32:08,18:28:51,4,76.29,Pellentesque viverra pede ac diam.
504,"San Antonio, TX","Chicago, IL",vry340,2021-03-07,00:05:05,13:17:18,4,80.96,
505,"Memphis, TN","Wilmington, NC",xbp692,2020-10-24,01:05:40,20:25:58,3,176.18,Aenean auctor gravida sem.
506,"Detroit, MI","Austin, TX",yfa750,2020-07-22,05:51:35,22:11:53,2,92.49,
507,"Oakland, CA","Cary, NC",srj99,2020-07-13,06:23:48,13:15:57,4,1.61,
508,"El Paso, TX","Kansas City, MO",yvl864,2021-01-19,01:52:38,17:25:00,3,26.63,Pellentesque viverra pede ac diam.
509,"Detroit, MI","Albuquerque, NM",don078,2020-10-07,11:20:11,13:43:16,2,43.49,Suspendisse potenti.
510,"Los Angeles, CA","New Orleans, LA",fwj075,2020-08-05,09:40:26,18:42:48,4,14.73,
511,"Tucson, AZ",city,etx794,2021-03-26,03:27:48,15:24:08,3,75.32,Pellentesque eget nunc.
512,"New York, NY","Boston, MA",dyo129,2020-09-01,11:29:32,23:36:08,4,111.69,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
513,"Virginia Beach, VA","Long Beach, CA",pfe244,2020-09-28,07:36:52,20:02:38,3,10.61,
514,"New Orleans, LA","Jacksonville, FL",spg577,2020-08-10,06:41:50,16:26:21,3,100.13,
515,"Baltimore, MD","Dallas, TX",wgb123,2020-11-26,00:18:46,22:23:27,4,38.89,
516,"High Point, NC","Nashville, TN",njh246,2021-03-06,02:02:21,21:33:35,3,136.22,Nulla facilisi.
517,"Colorado Springs, CO","Indianapolis, IN",zqp345,2020-07-11,06:40:16,18:51:35,4,132.79,Integer non velit.
518,"Chicago, IL","Charlotte, NC",alx392,2020-09-23,09:40:10,18:59:31,1,179.32,Praesent id massa id nisl venenatis lacinia.
519,"Las Vegas, NV","Denver, CO",tli649,2020-11-11,03:46:52,19:32:20,4,17.46,Morbi quis tortor id nulla ultrices aliquet.
520,"Denver, CO","High Point, NC",iwy460,2021-04-03,08:36:53,23:49:18,3,65.18,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
521,"San Jose, CA","Concord, NC",qri721,2021-02-12,10:18:10,19:23:07,4,35.06,
522,"Memphis, TN","New York, NY",uge421,2021-01-12,04:09:13,20:32:03,3,105.38,Duis aliquam convallis nunc.
523,"Columbus, OH","Baltimore, MD",gux965,2021-02-01,11:30:51,16:15:45,4,54.68,
524,"Cary, NC","Detroit, MI",ick328,2021-02-16,08:16:59,15:43:40,4,92.37,
525,"Detroit, MI","Dallas, TX",ehz420,2020-10-15,09:11:25,14:59:59,3,164.38,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
526,"Columbus, OH","Cary, NC",xck911,2021-01-11,09:39:01,15:42:58,4,44.4,
527,"Aspen, CO","Milwaukee, WI",qvi507,2020-08-27,07:42:45,17:54:56,4,168.3,
528,"Atlanta, GA","Cary, NC",okz995,2020-04-25,09:18:47,12:43:52,3,160.24,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
529,"New Orleans, LA","Mesa, AZ",pag662,2020-12-01,01:24:27,23:28:25,3,112.85,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
530,"Austin, TX","Boca Grande, FL",inl841,2020-08-09,08:59:15,23:07:18,1,56.53,
531,"Minneapolis, MN","Durham, NC",ysz518,2021-02-17,10:28:15,14:55:44,4,138.19,Phasellus sit amet erat.
533,"Boston, MA","Columbus, OH",dqn303,2020-12-12,01:37:00,13:48:01,3,185.47,Phasellus id sapien in sapien iaculis congue.
534,"Tucson, AZ","Arlington, TX",kbv117,2021-01-02,07:23:53,16:56:57,4,25.76,Aliquam erat volutpat.
535,"New York, NY","Virginia Beach, VA",rfo278,2020-09-18,11:36:10,19:32:09,4,82.59,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
536,"Concord, NC","Aspen, CO",wfk564,2020-08-07,11:21:34,13:58:49,4,195.25,
537,city,"Miami, FL",kra902,2020-06-28,04:38:39,22:36:37,2,183.05,
538,"Fresno, CA","Boca Grande, FL",mug188,2020-07-16,09:00:01,23:49:24,2,161.14,Nulla tempus.
539,"San Jose, CA","Mesa, AZ",rox101,2021-03-27,03:10:35,17:51:05,4,147.42,
540,"Durham, NC","Miami, FL",ivr940,2021-04-19,06:37:08,22:26:45,4,18.44,
541,"New Orleans, LA","San Jose, CA",clf736,2020-04-29,03:42:24,16:26:18,4,61.66,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
542,"Houston, TX","Wilmington, NC",plr535,2020-11-09,08:30:13,16:58:35,4,38.1,
543,"Indianapolis, IN","Tulsa, OK",soi560,2020-06-05,11:22:50,12:26:17,3,177.15,Sed ante.
544,"Albuquerque, NM","New York, NY",itr920,2021-03-20,10:32:29,23:55:19,3,106.19,Aenean sit amet justo.
545,"Milwaukee, WI","Tulsa, OK",nzc517,2021-02-21,07:45:39,20:46:20,1,68.88,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
546,"Fresno, CA","New Orleans, LA",ytg104,2020-08-08,11:20:53,14:18:00,3,167.96,
547,"Greenville, NC","Dallas, TX",oik377,2020-06-21,00:59:18,21:05:16,3,191.95,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
548,"San Diego, CA","San Francisco, CA",wdk954,2020-09-09,04:57:48,12:44:42,4,180.13,
549,"Concord, NC","Wilmington, NC",xld833,2020-06-28,11:58:11,13:04:51,4,133.57,Vivamus tortor.
550,"Baltimore, MD","Atlanta, GA",tiz958,2020-09-13,06:49:32,12:21:19,2,140.48,
551,"Arlington, TX","Detroit, MI",erl165,2020-05-26,00:28:00,14:14:16,3,103.77,Maecenas ut massa quis augue luctus tincidunt.
552,"Sacramento, CA","Aspen, CO",xrv278,2020-11-30,06:55:39,20:23:02,1,134.89,
554,"Tulsa, OK","Greenville, NC",xnp554,2021-02-16,06:12:41,23:31:05,1,83.3,Cras non velit nec nisi vulputate nonummy.
555,"Concord, NC","Fresno, CA",ejh365,2021-02-14,03:35:28,12:17:13,3,21.59,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
556,"New York, NY","Baltimore, MD",net535,2020-07-14,02:56:45,13:05:35,1,10.36,
557,"Wilmington, NC","Charlotte, NC",hes507,2020-07-15,07:46:43,23:14:13,1,27.79,Suspendisse potenti.
558,"Seattle, WA","Virginia Beach, VA",mly690,2020-08-07,00:21:53,12:19:41,4,112.39,
559,"New York, NY","Washington, DC",zfs693,2021-01-07,00:19:31,15:05:14,2,166.49,
560,"San Antonio, TX","Tucson, AZ",agp780,2021-03-13,02:51:09,18:02:41,4,154.02,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
561,"Tucson, AZ","New Orleans, LA",jgk912,2020-12-01,08:03:01,20:19:52,4,116.81,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
562,"Arlington, TX","Minneapolis, MN",ebr364,2020-07-11,09:50:19,22:33:29,2,199.8,Ut tellus.
563,"Charlotte, NC","Arlington, TX",hkf138,2020-05-18,02:15:03,21:40:56,2,105.61,
564,"Milwaukee, WI","Myrtle Beach, SC",ekj109,2020-04-28,06:47:16,15:32:55,4,5.73,
565,"Memphis, TN","Jacksonville, FL",qiv348,2020-09-02,08:07:44,22:27:47,4,115.52,
566,"Las Vegas, NV","Tucson, AZ",uji639,2021-02-22,07:15:00,20:21:30,4,149.06,Morbi a ipsum.
567,city,"Boca Grande, FL",peu781,2020-12-07,07:31:54,13:18:50,1,172.6,
568,"Los Angeles, CA","Jacksonville, FL",leq567,2021-04-20,10:38:50,19:55:39,2,128.85,Fusce posuere felis sed lacus.
569,"Greenville, NC","San Jose, CA",rwd662,2021-02-22,10:58:22,21:32:07,4,164.02,
570,"Jacksonville, FL","Greensboro, NC",zok463,2020-11-02,02:23:22,19:47:48,4,40.13,Curabitur in libero ut massa volutpat convallis.
571,"Virginia Beach, VA","Milwaukee, WI",qys390,2020-07-15,04:11:09,14:04:41,4,169.59,
572,"Fresno, CA","High Point, NC",gdv764,2020-07-04,01:33:47,22:02:59,2,50.69,Donec vitae nisi.
573,"Aspen, CO","Wichita, KS",rnf094,2021-01-29,09:58:45,14:30:20,4,58.64,
574,"Aspen, CO","New Orleans, LA",yls389,2020-11-07,08:09:46,20:15:17,3,132.58,
575,"Colorado Springs, CO","San Francisco, CA",yfa750,2021-02-25,02:45:13,23:42:35,3,41.09,Quisque ut erat.
576,"Charlotte, NC","Wilmington, NC",zxv566,2020-09-08,02:39:10,15:34:52,4,31.98,Suspendisse ornare consequat lectus.
577,"San Antonio, TX","San Diego, CA",lmn66,2021-01-08,09:20:35,22:57:49,3,64.87,
578,"Chicago, IL","High Point, NC",tam223,2020-09-11,09:34:50,21:25:06,4,9.56,
579,"Detroit, MI","Sacramento, CA",esp465,2020-05-17,09:19:47,16:54:16,4,58.72,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
580,"Tucson, AZ","Austin, TX",pai306,2021-02-09,00:15:23,22:13:47,3,54.43,
582,"Boston, MA","Oakland, CA",thq375,2020-12-31,06:05:13,14:41:24,4,56.1,Fusce consequat.
583,"Milwaukee, WI","Greenville, NC",gey944,2020-09-24,04:18:42,16:50:27,4,118.71,Etiam faucibus cursus urna.
584,"Seattle, WA","San Diego, CA",bdh576,2020-05-07,09:50:52,19:48:52,4,91.79,Aliquam quis turpis eget elit sodales scelerisque.
585,"Winston-Salem, NC","Virginia Beach, VA",yaw584,2020-06-19,02:58:02,17:18:21,4,181.33,
586,"Austin, TX","Oakland, CA",qog634,2020-05-06,03:50:19,22:16:05,4,13.51,In hac habitasse platea dictumst.
587,"Austin, TX","Milwaukee, WI",wdk954,2020-11-24,04:02:20,18:15:11,1,141.69,Morbi a ipsum.
588,"Fresno, CA","Arlington, TX",svw301,2020-07-31,00:51:05,17:50:18,3,18.32,
589,"Tulsa, OK","Boston, MA",jnh901,2021-01-15,00:57:26,12:35:10,2,137.62,
590,"Charlotte, NC","New York, NY",jbn157,2021-03-02,03:48:07,17:58:18,4,172.62,
591,"Myrtle Beach, SC","Nashville, TN",qze999,2020-10-11,00:12:15,22:42:01,4,174.69,In hac habitasse platea dictumst.
592,"Kansas City, MO","Winston-Salem, NC",zhp602,2020-06-04,02:40:44,12:46:59,3,104.66,
593,"Chicago, IL","High Point, NC",ezv756,2021-03-10,10:18:45,13:11:10,1,54.67,
594,"Atlanta, GA",city,agk19,2020-11-05,10:42:49,12:22:36,4,127.55,Nam tristique tortor eu pede.
595,"Tulsa, OK","Indianapolis, IN",ktl413,2021-01-02,10:01:35,20:37:54,3,107.01,
596,"Long Beach, CA","Greensboro, NC",hrb437,2021-03-20,05:02:17,22:04:56,4,146.99,Morbi vel lectus in quam fringilla rhoncus.
597,"Mesa, AZ","San Diego, CA",thm990,2020-06-10,06:23:37,18:12:49,2,164.63,Curabitur in libero ut massa volutpat convallis.
598,"Dallas, TX","Denver, CO",siy515,2020-12-30,04:00:30,14:44:33,4,65.15,Suspendisse accumsan tortor quis turpis.
599,"Myrtle Beach, SC","Wichita, KS",fza252,2020-11-02,09:44:30,14:11:40,1,193.89,
600,"Colorado Springs, CO","Dallas, TX",yud843,2020-06-21,08:25:50,16:08:12,3,16.62,
601,"Concord, NC","Chicago, IL",vtb666,2020-07-08,02:42:36,20:35:32,3,11.57,
602,"Los Angeles, CA","Boca Grande, FL",xgo540,2020-11-01,08:25:29,15:56:26,4,2.83,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
603,"Kansas City, MO","Atlanta, GA",bfp830,2021-02-19,08:58:05,18:09:39,4,154.55,Morbi non lectus.
604,"Arlington, TX","Concord, NC",tle883,2020-10-10,10:27:59,22:47:47,4,77.42,
605,"San Francisco, CA","Austin, TX",wdz177,2021-04-15,11:58:51,18:44:19,4,121.82,
606,"Kansas City, MO","New York, NY",kru784,2021-04-06,01:58:21,19:53:58,2,68.71,
607,"Myrtle Beach, SC","Detroit, MI",kgo808,2020-10-12,00:54:27,22:35:43,2,30.88,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
608,"Aspen, CO","El Paso, TX",pag662,2020-12-16,08:32:53,19:43:05,4,187.36,Integer ac neque.
609,"Miami, FL","Tulsa, OK",plr527,2021-04-01,03:25:58,16:17:24,3,52.51,
610,"Colorado Springs, CO","Houston, TX",quj541,2020-11-22,06:38:35,13:28:33,4,57.26,
611,"Milwaukee, WI","Indianapolis, IN",pab637,2020-05-11,03:46:55,14:47:23,4,55.05,
612,"Tulsa, OK","Las Vegas, NV",fkv834,2020-09-26,00:38:40,23:20:23,4,9.77,Nulla facilisi.
613,"Denver, CO","Kansas City, MO",fyz039,2020-05-05,02:03:22,22:59:45,1,193.89,Vivamus in felis eu sapien cursus vestibulum.
614,"Atlanta, GA","Virginia Beach, VA",aiu799,2021-02-16,03:22:17,12:48:33,2,151.76,Aenean fermentum.
615,"Kansas City, MO","Seattle, WA",aum274,2021-04-24,02:05:51,22:25:08,3,123.96,
616,"Houston, TX","Durham, NC",axq244,2021-01-21,09:28:14,20:00:58,2,28.7,Donec quis orci eget orci vehicula condimentum.
617,"Arlington, TX","Boca Grande, FL",goq763,2021-03-18,06:37:59,19:38:42,4,61.53,
618,"Greensboro, NC","Louisville, KY",cpb397,2020-06-03,01:49:21,12:39:02,3,112.71,
619,"Colorado Springs, CO","Charlotte, NC",dyh501,2020-11-24,09:12:17,12:08:18,4,160.97,
620,"Dallas, TX","Wilmington, NC",epj486,2021-01-16,10:09:15,17:24:44,3,41.81,Sed vel enim sit amet nunc viverra dapibus.
621,"Sacramento, CA","Detroit, MI",btc788,2020-12-15,03:49:16,22:14:17,4,140.54,
622,"Jacksonville, FL","Myrtle Beach, SC",hbp614,2020-12-11,10:42:12,22:07:10,3,140.64,Pellentesque ultrices mattis odio.
623,"Tulsa, OK","Greenville, NC",vpr497,2020-11-22,08:27:10,19:19:24,4,39.64,In quis justo.
624,"Wilmington, NC","Jacksonville, FL",wsr702,2021-01-15,10:00:47,12:22:15,1,96.86,
625,"Atlanta, GA","Mesa, AZ",xur187,2020-08-15,10:08:28,19:17:59,3,5.4,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
626,"Dallas, TX","San Jose, CA",spg577,2020-06-17,09:45:37,16:54:27,4,146.74,
627,"Tulsa, OK","Boca Grande, FL",dyz424,2021-04-04,07:21:53,21:12:16,1,125.52,Quisque porta volutpat erat.
628,"Greenville, NC","Albuquerque, NM",hvj454,2021-01-16,02:46:03,18:55:46,4,167.06,
629,"Oakland, CA","Boca Grande, FL",qri721,2021-01-14,03:10:58,12:51:27,4,132.67,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
630,"Sacramento, CA","Indianapolis, IN",smn201,2020-05-10,04:12:27,15:23:48,2,162.07,
631,"Virginia Beach, VA","Atlanta, GA",hes507,2020-12-28,00:28:40,13:04:49,4,97.14,In hac habitasse platea dictumst.
632,"El Paso, TX",city,kei235,2020-04-26,02:17:09,22:14:34,2,113.73,Ut at dolor quis odio consequat varius.
633,"San Antonio, TX","High Point, NC",vsl722,2020-10-21,08:59:33,17:35:25,4,34.63,Integer ac leo.
634,"Las Vegas, NV","Minneapolis, MN",uhq296,2020-10-14,08:27:19,18:18:53,4,117.53,
635,"Tucson, AZ","Austin, TX",htl348,2020-06-24,09:23:44,16:03:09,3,143.89,
636,"Sacramento, CA","Indianapolis, IN",yud843,2020-06-22,02:25:51,19:54:49,3,111.71,
637,"Oakland, CA","Detroit, MI",eya942,2021-04-20,10:44:30,15:46:09,2,150.05,
638,"New Orleans, LA","Concord, NC",uch426,2020-11-04,05:06:55,13:35:31,1,189.09,
639,"Austin, TX","Asheville, NC",bjm463,2020-10-16,07:09:45,21:28:05,3,11.88,Nunc nisl.
640,"Kansas City, MO","Tucson, AZ",spz846,2020-08-08,07:48:48,12:18:31,4,198.15,Praesent blandit lacinia erat.
641,"Indianapolis, IN","San Francisco, CA",gdv764,2021-03-27,10:25:34,18:17:42,3,23.81,
642,"Louisville, KY","Tucson, AZ",brh162,2020-05-26,02:43:13,18:18:04,2,48.57,
643,"Charlotte, NC","Columbus, OH",mlu892,2020-08-25,01:52:58,17:55:46,4,130.59,
644,"Nashville, TN","Austin, TX",xuf914,2020-06-15,11:51:49,20:29:42,4,53.83,
645,"Myrtle Beach, SC","Durham, NC",uvt132,2020-09-08,11:47:50,23:56:18,3,115.25,Quisque id justo sit amet sapien dignissim vestibulum.
646,"Columbus, OH","Oakland, CA",kjs550,2020-10-11,10:52:25,13:15:27,4,14.05,
647,"Boca Grande, FL","Tucson, AZ",ydz391,2021-01-05,00:20:37,14:22:57,1,124.17,
648,"Wichita, KS","Washington, DC",jah926,2020-09-19,00:42:39,20:37:13,4,156.92,Phasellus id sapien in sapien iaculis congue.
649,"Albuquerque, NM","Myrtle Beach, SC",uhm791,2020-05-08,08:53:51,16:31:53,4,24.49,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
650,"Cary, NC","Greenville, NC",bdf119,2020-11-01,05:45:00,13:28:56,4,3.11,
651,"Myrtle Beach, SC","Columbus, OH",ptf026,2021-03-03,09:18:49,16:14:33,2,57.65,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
652,"Asheville, NC","Greenville, NC",dyh501,2021-04-18,01:38:37,13:51:49,1,186.65,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
653,"Nashville, TN","Greenville, NC",xnj805,2021-04-01,06:40:57,20:55:31,4,160.09,
654,"Baltimore, MD","Durham, NC",xqo556,2021-03-02,05:47:54,19:15:03,4,151.16,
655,"Los Angeles, CA","Seattle, WA",ddd12,2020-10-17,10:44:10,16:09:08,3,113.36,
656,"Boston, MA","San Jose, CA",wpb037,2020-05-31,04:40:09,14:27:49,4,105.86,Aenean fermentum.
657,"Columbus, OH","Los Angeles, CA",jqr521,2020-12-09,04:01:21,12:43:27,4,131.2,Donec quis orci eget orci vehicula condimentum.
658,"Austin, TX","Chicago, IL",vez619,2021-01-16,01:33:57,13:24:54,4,186.55,
659,"Mesa, AZ","Asheville, NC",vpz858,2020-06-24,01:06:23,20:35:47,3,177.59,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
660,"Kansas City, MO","Myrtle Beach, SC",sme550,2020-04-28,06:20:46,17:14:24,2,117.79,
661,city,"Durham, NC",tsh397,2020-12-31,08:39:19,14:09:05,4,14.28,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
662,"Washington, DC","Memphis, TN",thq375,2020-06-23,08:23:08,19:53:51,4,88.34,Quisque id justo sit amet sapien dignissim vestibulum.
663,"Indianapolis, IN","San Diego, CA",sut378,2021-03-04,00:56:10,16:15:41,4,149.4,Nulla ut erat id mauris vulputate elementum.
664,"Denver, CO","Virginia Beach, VA",gjn588,2020-06-26,09:20:42,20:13:57,4,10.24,
665,"Memphis, TN","New York, NY",uge421,2020-07-24,06:53:34,16:46:33,1,45.03,
666,"High Point, NC","Columbus, OH",pij165,2020-05-13,02:30:35,12:07:19,4,113.41,
667,"Austin, TX","Chicago, IL",oam520,2020-08-30,03:50:10,18:52:25,4,21.39,
668,"New Orleans, LA","Cary, NC",fni532,2021-02-04,08:55:05,19:56:15,4,13.75,Maecenas rhoncus aliquam lacus.
669,"Concord, NC","Memphis, TN",tjs783,2020-04-28,05:24:08,17:22:01,4,112.62,
670,"Greenville, NC","Boca Grande, FL",cvr609,2020-05-11,03:39:59,14:07:05,4,119.24,
671,"Jacksonville, FL","Greensboro, NC",pnx737,2020-06-06,10:56:45,13:42:06,1,109.07,
672,"Asheville, NC","Long Beach, CA",jiv877,2020-09-16,00:31:55,21:56:44,2,62.37,
673,"El Paso, TX","Seattle, WA",jic414,2020-10-26,05:29:18,12:12:13,4,106.58,
674,"Charlotte, NC","Columbus, OH",nkd325,2021-02-05,04:46:33,14:13:32,2,100.02,
675,"San Diego, CA","Columbus, OH",uwp212,2020-06-04,07:17:35,17:53:00,4,12.99,Aliquam sit amet diam in magna bibendum imperdiet.
676,"Winston-Salem, NC","Greensboro, NC",zvi096,2020-10-13,08:08:55,19:47:51,3,76.7,Duis consequat dui nec nisi volutpat eleifend.
677,"Nashville, TN","Cary, NC",aho217,2020-05-21,01:09:07,17:20:30,3,146.15,Donec ut mauris eget massa tempor convallis.
678,"Long Beach, CA","Louisville, KY",yrq542,2020-11-30,05:04:15,19:28:39,4,136.88,
679,"Washington, DC","Baltimore, MD",rcl483,2020-11-01,03:34:04,20:13:16,4,38.59,Praesent id massa id nisl venenatis lacinia.
680,"Sacramento, CA","Greensboro, NC",tmn375,2020-06-12,06:16:14,17:29:08,3,51.38,Curabitur at ipsum ac tellus semper interdum.
681,"San Diego, CA","Los Angeles, CA",qsb272,2021-02-27,05:03:30,16:21:36,3,101.06,Aliquam erat volutpat.
682,"Dallas, TX","Wichita, KS",thq375,2021-03-15,09:51:32,22:02:27,2,67.84,
683,"Minneapolis, MN","Baltimore, MD",fbv528,2020-12-18,05:33:40,13:41:08,2,174.23,
684,"High Point, NC","Austin, TX",gcf458,2021-02-01,02:24:01,16:59:22,4,147.78,
685,"Asheville, NC","Atlanta, GA",opl631,2020-06-22,08:11:32,20:47:12,1,94.64,Quisque ut erat.
686,"San Antonio, TX","Mesa, AZ",xbp692,2020-06-01,09:19:03,19:22:31,4,154.91,
687,"Nashville, TN","Cary, NC",zye090,2020-05-17,01:54:25,19:00:26,4,103.32,Integer ac neque.
688,"San Diego, CA","Tucson, AZ",xuf914,2020-11-02,04:55:07,22:31:23,3,158.56,
689,"Detroit, MI","Tucson, AZ",dcg397,2020-09-12,00:10:14,14:17:33,4,66.86,
691,"Los Angeles, CA","El Paso, TX",bnu006,2020-12-30,00:18:10,23:02:09,4,14.13,Mauris ullamcorper purus sit amet nulla.
692,"Houston, TX","Jacksonville, FL",gwn509,2020-07-20,10:01:19,12:55:42,4,96.35,Etiam justo.
693,"Washington, DC","Long Beach, CA",ksz028,2020-07-03,09:52:46,12:23:28,1,68.6,
694,"Greensboro, NC","Austin, TX",uxn041,2021-01-29,08:05:14,13:57:52,4,144.46,Nulla nisl.
695,"Long Beach, CA","Tucson, AZ",izj324,2020-07-29,07:37:04,22:45:25,2,28.41,Curabitur convallis.
696,"Arlington, TX","Dallas, TX",qep176,2020-11-24,10:47:18,15:48:30,4,51.46,
697,"Virginia Beach, VA","Durham, NC",kjc930,2020-12-11,00:07:43,16:21:55,4,183.2,Maecenas ut massa quis augue luctus tincidunt.
698,"Virginia Beach, VA","Denver, CO",wgb123,2020-09-07,03:26:19,22:25:24,4,105.82,
699,"Greenville, NC","New York, NY",dyr338,2020-06-25,05:26:56,14:09:03,1,44.49,
700,"Oakland, CA","Long Beach, CA",ekj109,2020-10-21,11:15:11,12:08:15,3,18.01,Cras in purus eu magna vulputate luctus.
701,"Los Angeles, CA","Wilmington, NC",tam223,2021-02-21,11:41:46,20:39:37,4,101.82,Mauris sit amet eros.
702,"Louisville, KY","Dallas, TX",jad547,2020-11-10,02:57:57,14:12:42,4,133.23,
703,city,"Albuquerque, NM",fve453,2020-09-29,08:29:37,14:21:31,4,147.83,Vestibulum sed magna at nunc commodo placerat.
704,"Colorado Springs, CO","San Diego, CA",fta504,2021-04-02,09:39:51,12:38:53,4,164.73,Aenean lectus.
705,"Tucson, AZ","Memphis, TN",qwk040,2020-12-03,03:32:35,16:19:01,2,46.05,In sagittis dui vel nisl.
706,"Wilmington, NC","San Antonio, TX",pey421,2020-06-30,01:01:18,23:46:51,3,146.03,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
707,"Atlanta, GA","Nashville, TN",xmk470,2021-02-25,06:33:02,20:18:18,2,67.3,Vestibulum rutrum rutrum neque.
708,"Indianapolis, IN","Fresno, CA",nmz754,2020-08-27,10:25:57,19:21:38,4,46.02,Duis bibendum.
709,"Nashville, TN","Memphis, TN",wmx431,2021-04-13,09:56:04,15:37:47,4,100.03,Sed vel enim sit amet nunc viverra dapibus.
710,"Wilmington, NC","Houston, TX",wyj406,2021-03-03,11:44:34,22:32:42,4,128.13,Donec ut dolor.
711,"Dallas, TX","Tulsa, OK",lnx291,2020-05-28,07:57:27,12:01:38,2,90.88,
712,"Nashville, TN","Washington, DC",rhm245,2020-06-22,08:55:56,18:09:58,2,36.23,
713,"Mesa, AZ","Seattle, WA",ixo733,2021-04-05,05:45:36,22:37:28,4,106.61,
714,"San Diego, CA","Indianapolis, IN",gin491,2020-10-12,10:44:07,18:11:52,4,66.53,
715,"Houston, TX","Greenville, NC",mlu892,2020-12-14,10:59:10,14:19:07,1,45.66,
716,"Tulsa, OK","Chicago, IL",plr527,2021-04-07,09:35:15,19:30:51,4,171.65,
717,"Colorado Springs, CO","Arlington, TX",opi654,2020-11-26,08:31:39,16:31:56,3,82.51,Donec dapibus.
718,"Detroit, MI","Wilmington, NC",bfy856,2020-05-31,10:35:48,18:24:03,4,123.61,
719,"Dallas, TX","Cary, NC",fgi241,2020-05-02,05:31:55,13:25:49,4,163.2,Duis bibendum.
720,"Miami, FL","High Point, NC",dtz601,2020-08-20,10:56:24,20:03:13,1,175.24,
721,"Denver, CO","Greenville, NC",pty976,2020-11-30,08:45:36,16:14:50,2,55.5,Nulla facilisi.
783,"Los Angeles, CA","Kansas City, MO",uqm164,2021-03-15,05:11:59,23:00:57,2,65.49,
722,"Milwaukee, WI","Los Angeles, CA",mnu593,2021-01-11,02:06:29,13:16:24,3,65.37,Pellentesque ultrices mattis odio.
723,"Baltimore, MD","Minneapolis, MN",fzh231,2021-03-03,03:44:06,14:29:51,3,33.22,
724,"Miami, FL","Myrtle Beach, SC",ypa384,2020-12-29,06:24:27,12:40:36,4,167.72,Aenean fermentum.
725,"New York, NY","Colorado Springs, CO",kjd959,2020-08-04,04:22:07,22:13:43,4,55.65,
726,"Concord, NC","San Antonio, TX",zow718,2020-09-30,09:57:27,23:16:03,4,126.4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
727,"Kansas City, MO","Winston-Salem, NC",qdp489,2021-02-01,10:55:06,14:01:09,2,153.93,Quisque id justo sit amet sapien dignissim vestibulum.
728,"Winston-Salem, NC","El Paso, TX",pty976,2021-03-10,05:33:04,17:07:31,4,188.47,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
729,"Detroit, MI","Columbus, OH",lbp414,2021-03-28,07:07:03,17:42:59,1,112.63,Nulla nisl.
730,"Sacramento, CA","Wilmington, NC",kjc930,2021-01-28,01:48:44,12:58:52,4,98.18,
731,"Durham, NC","Mesa, AZ",cgb569,2021-04-05,01:33:01,13:23:16,3,67.74,Duis at velit eu est congue elementum.
732,"San Antonio, TX","Virginia Beach, VA",url120,2020-06-13,02:59:40,12:28:17,2,144.9,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
